user_id,product_id,rating,product_description,recommended
1,1970,3,Product description for item 1970,True
2,1279,4,Product description for item 1279,False
3,1642,1,Product description for item 1642,True
4,1801,2,Product description for item 1801,True
5,1461,4,Product description for item 1461,True
6,1888,1,Product description for item 1888,False
7,1954,5,Product description for item 1954,False
8,1033,1,Product description for item 1033,True
9,1792,4,Product description for item 1792,True
10,1622,2,Product description for item 1622,False
11,1962,2,Product description for item 1962,True
12,1532,4,Product description for item 1532,True
13,1352,3,Product description for item 1352,False
14,1329,5,Product description for item 1329,True
15,1334,3,Product description for item 1334,False
16,1222,5,Product description for item 1222,False
17,1362,3,Product description for item 1362,False
18,1805,2,Product description for item 1805,True
19,1461,4,Product description for item 1461,False
20,1389,5,Product description for item 1389,True
21,1384,2,Product description for item 1384,True
22,1619,3,Product description for item 1619,False
23,1054,4,Product description for item 1054,False
24,1632,2,Product description for item 1632,True
25,1521,4,Product description for item 1521,False
26,1231,1,Product description for item 1231,False
27,1952,3,Product description for item 1952,False
28,1136,2,Product description for item 1136,True
29,1092,3,Product description for item 1092,False
30,1141,1,Product description for item 1141,True
31,1665,4,Product description for item 1665,True
32,1836,1,Product description for item 1836,True
33,1477,3,Product description for item 1477,True
34,1560,3,Product description for item 1560,True
35,1704,4,Product description for item 1704,True
36,1070,1,Product description for item 1070,True
37,1335,4,Product description for item 1335,True
38,1328,5,Product description for item 1328,True
39,1258,2,Product description for item 1258,False
40,1531,4,Product description for item 1531,False
41,1721,2,Product description for item 1721,True
42,1625,3,Product description for item 1625,True
43,1275,3,Product description for item 1275,True
44,1052,2,Product description for item 1052,False
45,1827,2,Product description for item 1827,True
46,1833,1,Product description for item 1833,True
47,1205,4,Product description for item 1205,True
48,1437,5,Product description for item 1437,True
49,1289,4,Product description for item 1289,True
50,1218,3,Product description for item 1218,False
51,1806,1,Product description for item 1806,False
52,1767,5,Product description for item 1767,True
53,1575,2,Product description for item 1575,False
54,1320,3,Product description for item 1320,True
55,1922,2,Product description for item 1922,False
56,1134,3,Product description for item 1134,True
57,1241,5,Product description for item 1241,True
58,1966,5,Product description for item 1966,True
59,1538,3,Product description for item 1538,True
60,1724,3,Product description for item 1724,False
61,1884,2,Product description for item 1884,False
62,1642,5,Product description for item 1642,False
63,1848,2,Product description for item 1848,False
64,1413,1,Product description for item 1413,False
65,1485,3,Product description for item 1485,False
66,1198,2,Product description for item 1198,True
67,1016,4,Product description for item 1016,False
68,1831,4,Product description for item 1831,False
69,1000,2,Product description for item 1000,False
70,1191,4,Product description for item 1191,True
71,1123,3,Product description for item 1123,True
72,1893,3,Product description for item 1893,False
73,1838,2,Product description for item 1838,False
74,1263,1,Product description for item 1263,False
75,1111,5,Product description for item 1111,True
76,1802,2,Product description for item 1802,False
77,1228,1,Product description for item 1228,False
78,1250,4,Product description for item 1250,False
79,1225,3,Product description for item 1225,False
80,1522,2,Product description for item 1522,False
